datetime,year,month,day,hour,day of week,total,place,angbutter,plain bread,jam,croissant,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,gateau chocolat,pandoro,cheese cake,orange pound,wiener,tiramisu,merinque cookies,americano,caffe latte,milk tea,lemon ade,vanila latte,berry ade,food items,drinks
2019-07-20 12:55:00,YYYY,MM,DD,HH,Sat,15800,,1,,,,1,,,,,,,,,1,,,,,,,,,,,
2019-07-20 13:19:00,YYYY,MM,DD,HH,Sat,20500,,,,,2,1,,2,,,,,,,,,,,,,,,,,,
2019-07-20 13:44:00,YYYY,MM,DD,HH,Sat,18600,,2,,,1,,,1,,,,,,,,,,,,,,,,,,
2019-07-20 13:56:00,YYYY,MM,DD,HH,Sat,17800,,1,,,1,,,1,,,,,,,,,,,1,,,,,,,
2019-07-21 11:07:00,YYYY,MM,DD,HH,Sun,18600,,1,,,1,,,,,,,1,,,,,1,,,,,,,,,
2019-07-21 11:42:00,YYYY,MM,DD,HH,Sun,17300,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,
2019-07-21 12:12:00,YYYY,MM,DD,HH,Sun,17800,,1,,,,,,,,,,,,,1,1,,,1,,,,,,,
2019-07-21 12:25:00,YYYY,MM,DD,HH,Sun,14800,,1,,,,,,1,,,,,,,,,,,,1,,,,,,
2019-07-21 12:29:00,YYYY,MM,DD,HH,Sun,16100,,2,,,,,,,,,,,,,1,,,,,,,,,,,
2019-07-21 12:47:00,YYYY,MM,DD,HH,Sun,21000,,,1,,1,1,,1,,,,,,,1,,,,,,,,,,,
2019-07-21 13:37:00,YYYY,MM,DD,HH,Sun,19300,,1,,,1,,,,,,,,,,,,,,,,2,,,,,
2019-07-21 13:45:00,YYYY,MM,DD,HH,Sun,22300,,1,,,1,1,,,,,,,,,,,,,2,,,,,,,
2019-07-21 14:05:00,YYYY,MM,DD,HH,Sun,18300,,1,1,,1,,,,,,,,,,,,,,,,,,1,,,
2019-07-21 14:53:00,YYYY,MM,DD,HH,Sun,15300,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
2019-07-21 15:21:00,YYYY,MM,DD,HH,Sun,15100,,1,,,,,,,1,,,1,,,,,,,,,,,,,,
2019-07-22 11:38:00,YYYY,MM,DD,HH,Mon,15600,,2,,,,,,,,,,,,,,,,,1,,,,,,,
2019-07-22 12:16:00,YYYY,MM,DD,HH,Mon,19300,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,
2019-07-22 12:24:00,YYYY,MM,DD,HH,Mon,18300,,1,,,1,,,1,,,,,,,1,,,,,,,,,,,
2019-07-22 12:41:00,YYYY,MM,DD,HH,Mon,18300,,1,,,2,1,,,,,,,,,,,,,,,,,,,,
2019-07-22 13:28:00,YYYY,MM,DD,HH,Mon,16600,,2,,,,,,2,,,,,,,,,,,,,,,,,,
2019-07-22 13:44:00,YYYY,MM,DD,HH,Mon,14800,,1,,,,,,1,,,,,1,,,,,,,,,,,,,
2019-07-22 14:47:00,YYYY,MM,DD,HH,Mon,26000,,5,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-22 15:37:00,YYYY,MM,DD,HH,Mon,19600,,1,,,,1,,,,,,1,,,,,,,,1,,,,,,
2019-07-22 16:54:00,YYYY,MM,DD,HH,Mon,18600,,1,,,1,,,,,,,1,,,,,,,,,,,,1,,
2019-07-24 11:29:00,YYYY,MM,DD,HH,Wed,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-24 11:56:00,YYYY,MM,DD,HH,Wed,27100,,2,2,,,1,,,,,,,,,1,,,,,,,,,,,
2019-07-24 13:24:00,YYYY,MM,DD,HH,Wed,18800,,1,1,,1,,,,,,,,,,,,,,1,,,,,,,
2019-07-24 14:25:00,YYYY,MM,DD,HH,Wed,25400,,3,,,,,,,,,,,,,,,,,,,2,,,,,
2019-07-24 14:28:00,YYYY,MM,DD,HH,Wed,26300,,1,2,,,1,,,,,,,,,,,,,1,,,,1,,,
2019-07-24 15:36:00,YYYY,MM,DD,HH,Wed,16100,,2,,,,,,,1,,,,,,,,,,,,,,,,,
2019-07-24 15:40:00,YYYY,MM,DD,HH,Wed,16100,,2,,,,1,,,,,,,,,,,,,,,,,,,,
2019-07-24 16:02:00,YYYY,MM,DD,HH,Wed,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-24 17:20:00,YYYY,MM,DD,HH,Wed,15000,,,,,,,,1,1,,,,,,,2,,,,,,,,,,
2019-07-25 11:49:00,YYYY,MM,DD,HH,Thur,18600,,1,,,,1,,1,,,,1,,,,,,,,,,,,,,
2019-07-25 11:57:00,YYYY,MM,DD,HH,Thur,26800,,1,1,,1,,,,,,,,,,,,,,1,1,,,1,,,
2019-07-25 12:01:00,YYYY,MM,DD,HH,Thur,35000,,,,,,,,,4,,,,,,,6,,,,,,,,,,
2019-07-25 12:35:00,YYYY,MM,DD,HH,Thur,38000,,5,,,1,,,1,,,,,,,,2,,,,,,,,,,
2019-07-25 13:01:00,YYYY,MM,DD,HH,Thur,23100,,2,,,,1,,1,,,,,,,,,,,,,,,,,,
2019-07-25 13:05:00,YYYY,MM,DD,HH,Thur,17300,,,,,,,,2,,,,1,,,,,,,,,,,,1,,
2019-07-25 13:40:00,YYYY,MM,DD,HH,Thur,19600,,2,,,1,,,,,,,,1,,,,,,,,,,,,,
2019-07-25 13:42:00,YYYY,MM,DD,HH,Thur,15300,,1,,,,,,,,,,,1,,,,,,1,,,,,,,
2019-07-25 14:12:00,YYYY,MM,DD,HH,Thur,16100,,2,,,,,,,,,,,1,,,,,,,,,,,,,
2019-07-25 15:09:00,YYYY,MM,DD,HH,Thur,14300,,1,,,1,,,,,,,,,,,,,,1,,,,,,,
2019-07-25 15:57:00,YYYY,MM,DD,HH,Thur,15100,,1,,,,,,,1,,,1,,,,,,,,,,,,,,
2019-07-25 16:03:00,YYYY,MM,DD,HH,Thur,20000,,,,,,,,,1,,,,1,,1,,,,,,,,1,,,
2019-07-26 11:26:00,YYYY,MM,DD,HH,Fri,25300,,1,1,,3,,,,,,,,,,1,,,,,,,,,,,
2019-07-26 11:23:00,YYYY,MM,DD,HH,Fri,73200,,4,3,,6,1,,2,,,,,1,,1,,,,,,,,,,,
2019-07-26 11:31:00,YYYY,MM,DD,HH,Fri,22800,,1,,,,1,,,,,,,1,,1,1,,,,,,,,,,
2019-07-26 11:36:00,YYYY,MM,DD,HH,Fri,1293000,,6,5,,5,,,5,5,,,,5,,,,,,,,,,,,,
2019-07-26 11:37:00,YYYY,MM,DD,HH,Fri,15000,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,
2019-07-26 11:55:00,YYYY,MM,DD,HH,Fri,20800,,1,,,,1,,,1,,,,,,,2,,,,,,,,,,
2019-07-26 13:19:00,YYYY,MM,DD,HH,Fri,25900,,3,,,,1,,,,,,,,,,2,,,,,,,,,,
2019-07-26 13:24:00,YYYY,MM,DD,HH,Fri,28100,,2,,,,,,1,,,,,,,1,,,,1,,,1,,,,
2019-07-26 14:05:00,YYYY,MM,DD,HH,Fri,15800,,1,,,,,,,,,,,,,,,,,,,1,,,1,,
2019-07-26 14:24:00,YYYY,MM,DD,HH,Fri,35000,,5,,,,,,,,,,,,,2,,,,,,,,,,,
2019-07-26 14:52:00,YYYY,MM,DD,HH,Fri,22100,,1,,,,,,,1,,,1,,,,1,,,,,,1,,,,
2019-07-26 14:56:00,YYYY,MM,DD,HH,Fri,16100,,2,,,,,,,,,,,1,,,,,,,,,,,,,
2019-07-27 11:29:00,YYYY,MM,DD,HH,Sat,18800,,1,1,,,1,,,,,,,,,,,,,1,,,,,,,
2019-07-27 11:57:00,YYYY,MM,DD,HH,Sat,21800,,1,1,,1,,,1,,,,,1,,,,,,,,,,,,,
2019-07-27 12:00:00,YYYY,MM,DD,HH,Sat,18600,,1,,,1,,,,,,,1,,,,,,,,,,,1,,,
2019-07-27 12:07:00,YYYY,MM,DD,HH,Sat,33200,,2,2,,,,,2,,,,2,,,,,,,,,,,,,,
2019-07-27 12:20:00,YYYY,MM,DD,HH,Sat,22800,,1,,,1,,,1,,,,,,,,,1,,,,,1,,,,
2019-07-27 12:26:00,YYYY,MM,DD,HH,Sat,17000,,1,,,3,,,,,,,,,,,,,,,,,,,,,
2019-07-27 12:43:00,YYYY,MM,DD,HH,Sat,16400,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
2019-07-27 13:50:00,YYYY,MM,DD,HH,Sat,14800,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
2019-07-27 14:05:00,YYYY,MM,DD,HH,Sat,32600,,1,1,1,,,,,,,,1,,,1,1,,,,,,1,1,,,
2019-07-28 11:17:00,YYYY,MM,DD,HH,Sun,17300,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,
2019-07-28 12:10:00,YYYY,MM,DD,HH,Sun,14800,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
2019-07-28 12:21:00,YYYY,MM,DD,HH,Sun,14800,,1,,,,1,,1,,,,,,,,,,,,,,,,,,
2019-07-28 12:47:00,YYYY,MM,DD,HH,Sun,14300,,1,,,,,,1,,,,,,,,,,,1,,,,,,,
2019-07-28 12:48:00,YYYY,MM,DD,HH,Sun,14800,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
2019-07-28 13:13:00,YYYY,MM,DD,HH,Sun,25600,,2,1,,2,,,,,,,,,,,1,,,,,,,,,,
2019-07-28 13:14:00,YYYY,MM,DD,HH,Sun,19500,,,1,1,,,,1,,,,,1,,,,,,,,,,,1,,
2019-07-29 11:08:00,YYYY,MM,DD,HH,Mon,24800,,1,,,3,,,,,,,,,,,3,,,,,,,,,,
2019-07-29 11:12:00,YYYY,MM,DD,HH,Mon,24100,,2,,,1,1,,,,,,,,,1,,,,,,,,,,,
2019-07-28 11:14:00,YYYY,MM,DD,HH,Mon,15800,,1,,,,1,,,,,,,1,,,,,,,,,,,,,
2019-07-29 11:39:00,YYYY,MM,DD,HH,Mon,14800,,1,,,,,,1,,,,,1,,,,,,,,,,,,,
2019-07-29 12:02:00,YYYY,MM,DD,HH,Mon,14800,,1,,,,,,1,,,,,,,1,,,,,,,,,,,
2019-07-29 12:15:00,YYYY,MM,DD,HH,Mon,18300,,1,,,1,,,1,,,,,,,1,,,,,,,,,,,
2019-07-29 12:22:00,YYYY,MM,DD,HH,Mon,27900,,3,1,,,,,1,,,,,,,1,,,,,,,,,,,
2019-07-29 12:54:00,YYYY,MM,DD,HH,Mon,15800,,1,,,,,,,1,,,,,,1,,,,,,,,,,,
2019-07-29 13:25:00,YYYY,MM,DD,HH,Mon,18100,,1,,,1,,,,,,,1,,,,,,,1,,,,,,,
2019-07-29 13:36:00,YYYY,MM,DD,HH,Mon,28000,,,,,1,,,,1,,,,1,,,,,,,,1,,1,,,
2019-07-29 13:53:00,YYYY,MM,DD,HH,Mon,28000,,,,,,1,,,1,,,,1,,,,,,2,,,,1,,,
2019-07-31 11:09:00,YYYY,MM,DD,HH,Wed,15600,,2,,,,,,,,,,,,,,,,,1,,,,,,,
2019-07-31 11:25:00,YYYY,MM,DD,HH,Wed,30100,,2,1,,2,,,1,,,,,1,,,,,,,,,,,,,
2019-07-31 11:38:00,YYYY,MM,DD,HH,Wed,23300,,1,1,1,1,,,1,1,,,,,,,,,,,,,,,,,
2019-07-31 11:44:00,YYYY,MM,DD,HH,Wed,30200,,2,,,,,,2,,,,2,,,,,,,1,,,,,,,
2019-07-31 12:48:00,YYYY,MM,DD,HH,Wed,15100,,2,1,,,,,,,,,,,,,,,,,,,,,,,
2019-07-31 13:18:00,YYYY,MM,DD,HH,Wed,27300,,1,1,,,,,,,,,,1,,,,,,2,,,,1,,,
2019-07-31 13:19:00,YYYY,MM,DD,HH,Wed,15300,,1,,,,1,,,,,,,,,,,,,1,,,,,,,
2019-07-31 13:29:00,YYYY,MM,DD,HH,Wed,16100,,1,,,,,,,,,,1,1,,,,,,,,,,,,,
2019-07-31 13:54:00,YYYY,MM,DD,HH,Wed,15100,,1,,,,,,,,,,1,,,,,,,,,1,,,,,
2019-07-31 13:58:00,YYYY,MM,DD,HH,Wed,15800,,1,,,,1,,,,,,,1,,,,,,,,,,,,,
2019-08-01 11:03:00,YYYY,MM,DD,HH,Thur,14500,,,,,,1,,1,,,,,1,,,,,,,,,,,,,
2019-08-01 11:17:00,YYYY,MM,DD,HH,Thur,13100,,2,,,,,,1,,,,,,,,,,,,,,,,,,
2019-08-01 11:25:00,YYYY,MM,DD,HH,Thur,16100,,2,,,,,,,,,,,1,,,,,,,,,,,,,
2019-08-01 11:50:00,YYYY,MM,DD,HH,Thur,14800,,1,,,1,,,,,,,,,,1,,,,,,,,,,,
2019-08-01 12:02:00,YYYY,MM,DD,HH,Thur,21100,,2,1,,1,,,,,,,,1,,,,,,,,,,,,,
2019-08-01 12:15:00,YYYY,MM,DD,HH,Thur,20600,,2,,,,1,,,,,,,,,1,,,,,,,,,,,
2019-08-01 12:24:00,YYYY,MM,DD,HH,Thur,32600,,1,2,,2,1,,1,,,,1,,,,,,,,,,,,,,
2019-08-01 12:38:00,YYYY,MM,DD,HH,Thur,14500,,,1,,,,,,,,,,1,,,,,,,,1,,,,,
2019-08-01 13:37:00,YYYY,MM,DD,HH,Thur,15100,,2,,,1,,,,,,,,,,,,,,,,,,,,,
2019-08-01 13:39:00,YYYY,MM,DD,HH,Thur,15000,,,1,1,,,,1,,,,,,,,,,,,,1,,,,,
2019-08-01 14:17:00,YYYY,MM,DD,HH,Thur,14800,,1,,,,1,,1,,,,,,,,,,,,,,,,,,
2019-08-01 14:56:00,YYYY,MM,DD,HH,Thur,23000,,,,,4,,,2,,,,,,,,,,,,,,,,,,
2019-08-02 11:03:00,YYYY,MM,DD,HH,Fri,19900,,3,,,,,,1,,,,,,,,,,,,,,,,,,
2019-08-02 11:04:00,YYYY,MM,DD,HH,Fri,14100,,1,1,,,,,,,,,1,,,,,,,,,,,,,,
2019-08-02 11:06:00,YYYY,MM,DD,HH,Fri,18000,,3,,,,1,,,,,,,1,,1,1,,,,,,,,,,
2019-08-02 11:19:00,YYYY,MM,DD,HH,Fri,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-02 11:31:00,YYYY,MM,DD,HH,Fri,17300,,1,1,,,,,,,,,,,,,1,,,,,,,,1,,
2019-08-02 11:57:00,YYYY,MM,DD,HH,Fri,30800,,6,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-02 12:21:00,YYYY,MM,DD,HH,Fri,15800,,1,,,,1,,,,,,,,,,,,,,1,,,,,,
2019-08-02 12:31:00,YYYY,MM,DD,HH,Fri,19900,,2,,,,,,,,,,1,,,1,,,,,,,,,,,
2019-08-02 12:51:00,YYYY,MM,DD,HH,Fri,15800,,1,1,,,1,,,,,,,,,,,,,,,,,,,,
2019-08-03 11:02:00,YYYY,MM,DD,HH,Sat,26000,,5,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-03 11:03:00,YYYY,MM,DD,HH,Sat,26100,,2,1,,,,,1,,,,,,,,3,,,,,,,,,,
2019-08-03 11:03:00,YYYY,MM,DD,HH,Sat,16000,,,,,2,,,2,,,,,,,,,,,,,,,,,,
2019-08-03 11:05:00,YYYY,MM,DD,HH,Sat,29100,,1,,,1,,,1,1,,,1,,,1,1,,,,,,,,,,
2019-08-03 11:06:00,YYYY,MM,DD,HH,Sat,16800,,1,1,1,,,,,,,,,,,,2,,,,,,,,,,
2019-08-03 11:08:00,YYYY,MM,DD,HH,Sat,22800,,,1,,1,,,,,,,1,,,,4,,,,,,,,,,
2019-08-03 11:20:00,YYYY,MM,DD,HH,Sat,16600,,1,,,1,,,,,,,1,,,,1,,,,,,,,,,
2019-08-03 11:53:00,YYYY,MM,DD,HH,Sat,18800,,1,1,,1,,,,,,,,,,,2,,,,,,,,,,
2019-08-03 12:06:00,YYYY,MM,DD,HH,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-03 12:44:00,YYYY,MM,DD,HH,Sat,19300,,1,1,,,,,,,,,,,,1,,,,,,1,,,,,
2019-08-03 13:06:00,YYYY,MM,DD,HH,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-03 13:18:00,YYYY,MM,DD,HH,Sat,18300,,1,,,1,,,,,,,,,,,,,,2,,,,,,,
2019-08-03 13:20:00,YYYY,MM,DD,HH,Sat,16300,,1,,1,1,,,,,,,,,,1,,,,,,,,,,,
2019-08-03 13:42:00,YYYY,MM,DD,HH,Sat,15800,,1,,,,,,,2,,,,,,,,,,,,,,,,,
2019-08-03 15:07:00,YYYY,MM,DD,HH,Sat,17900,,3,,1,,,,,,,,,,,,,,,,,,,,,,
2019-08-03 15:53:00,YYYY,MM,DD,HH,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-04 11:02:00,YYYY,MM,DD,HH,Sun,34800,,1,1,,2,,,2,,,,,,,,1,,,2,,,,,,,
2019-08-04 11:04:00,YYYY,MM,DD,HH,Sun,31600,,2,1,,1,,,1,,,,,,,1,2,,,,,,,,,,
2019-08-04 11:07:00,YYYY,MM,DD,HH,Sun,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-04 11:07:00,YYYY,MM,DD,HH,Sun,19300,,1,1,,,1,,,,,,,,,,,,,,,1,,,,,
2019-08-04 11:41:00,YYYY,MM,DD,HH,Sun,24300,,1,1,1,,1,,1,,,,,,,,1,,,,,,,,,,
2019-08-04 11:52:00,YYYY,MM,DD,HH,Sun,22100,,2,,,1,,,,,,,,,,1,1,,,,,,,,,,
2019-08-04 12:27:00,YYYY,MM,DD,HH,Sun,14800,,1,1,,,,,,,,,,,,1,,,,,,,,,,,
2019-08-04 12:30:00,YYYY,MM,DD,HH,Sun,19500,,,1,,2,,,1,,,,,,,,,,,,,,,,,,
2019-08-04 12:35:00,YYYY,MM,DD,HH,Sun,20600,,2,,,,,,,,,,,1,,1,,,,,,,,,,,
2019-08-04 12:39:00,YYYY,MM,DD,HH,Sun,17800,,,1,1,,,,,1,,,1,,,,1,,,,,,,,,,
2019-08-05 11:11:00,YYYY,MM,DD,HH,Mon,16300,,1,,,,1,,,,,,,,,,2,,,,,,,,,,
2019-08-05 11:16:00,YYYY,MM,DD,HH,Mon,23100,,2,,,,,,,,,,,,,1,1,,,,,1,,,,,
2019-08-05 11:18:00,YYYY,MM,DD,HH,Mon,31400,,2,,,,1,,1,,,,1,1,,,1,,,,,,,,,,
2019-08-05 11:32:00,YYYY,MM,DD,HH,Mon,17000,,,,,,,,1,2,,,,,,,1,,,,,,,,,,
2019-08-05 11:59:00,YYYY,MM,DD,HH,Mon,22300,,1,1,1,,,,1,,,,,1,,,1,,,,,,,,,,
2019-08-05 12:14:00,YYYY,MM,DD,HH,Mon,26600,,2,1,,1,1,,1,,,,,,,,,,,,,,,,,,
2019-08-05 12:14:00,YYYY,MM,DD,HH,Mon,14800,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
2019-08-05 12:42:00,YYYY,MM,DD,HH,Mon,19600,,2,,,,1,,1,,,,,,,,,,,,,,,,,,
2019-08-05 12:49:00,YYYY,MM,DD,HH,Mon,49300,,1,1,1,1,,,1,,,,,,,,,,,,1,,1,3,1,,
2019-08-05 13:54:00,YYYY,MM,DD,HH,Mon,19800,,1,1,1,1,,,,,,,,,,,,,,,1,,,,,,
2019-08-05 14:25:00,YYYY,MM,DD,HH,Mon,20800,,1,1,,,,,,,,,,,,,1,,,,1,,,,,,
2019-08-05 14:53:00,YYYY,MM,DD,HH,Mon,16300,,1,,,2,,,,,,,,,,,1,,,,,,,,,,
2019-08-07 11:03:00,YYYY,MM,DD,HH,Wed,16300,,1,,,2,,,,,,,,,,,1,,,,,,,,,,
2019-08-07 11:10:00,YYYY,MM,DD,HH,Wed,21200,,4,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-07 12:17:00,YYYY,MM,DD,HH,Wed,15300,,,,,1,,,1,,,,1,,,,1,,,,,,,,,,
2019-08-07 12:20:00,YYYY,MM,DD,HH,Wed,27300,,1,,,1,1,,1,,,,,,,,,,,,1,,,1,,,
2019-08-07 12:28:00,YYYY,MM,DD,HH,Wed,16100,,2,,,,,,,,,,,,,1,,,,,,,,,,,
2019-08-07 13:28:00,YYYY,MM,DD,HH,Wed,17600,,1,,,2,,,,,,,1,,,,,,,,,,,,,,
2019-08-07 13:33:00,YYYY,MM,DD,HH,Wed,19500,,,3,,,,,2,,,,,,,,,,,,,,,,,,
2019-08-07 13:59:00,YYYY,MM,DD,HH,Wed,14800,,1,,,,,,,,,,,,,,,,,2,,,,,,,
2019-08-07 14:05:00,YYYY,MM,DD,HH,Wed,15000,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,
2019-08-07 14:06:00,YYYY,MM,DD,HH,Wed,14100,,2,,,,,,,,,,,,,,1,,,,,,,,,,
2019-08-07 14:50:00,YYYY,MM,DD,HH,Wed,23800,,1,1,,,1,,,,,,,,,,,,,,1,1,,,,,
2019-08-08 11:07:00,YYYY,MM,DD,HH,Thur,16100,,2,1,,,,,,,,,,,,,,,,,,,,,,,
2019-08-08 11:09:00,YYYY,MM,DD,HH,Thur,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-08 11:22:00,YYYY,MM,DD,HH,Thur,20300,,1,,,,,,,,,,,1,,2,,,,,,,,,,,
2019-08-08 12:03:00,YYYY,MM,DD,HH,Thur,16500,,,1,1,,1,,,,,,,,,,1,,,,,,,,,,
2019-08-08 12:13:00,YYYY,MM,DD,HH,Thur,15100,,2,,,,,,1,,,,,,,,,,,,,,,,,,
2019-08-08 12:39:00,YYYY,MM,DD,HH,Thur,15300,,1,1,,,,,,,,,,,,,2,,,,,,,,,,
2019-08-08 12:56:00,YYYY,MM,DD,HH,Thur,16000,,,1,,1,,,,,,,,1,,,1,,,,,,,,,,
2019-08-08 13:22:00,YYYY,MM,DD,HH,Thur,15800,,1,,,,1,,,,,,,,,,,,,,,,,1,,,
2019-08-08 13:26:00,YYYY,MM,DD,HH,Thur,17300,,1,,,1,,,2,,,,,,,,,,,,,,,,,,
2019-08-08 13:36:00,YYYY,MM,DD,HH,Thur,33200,,2,,,,2,,,,,,2,,,,2,,,,,,,,,,
